,compound_id,cell_id,active
128334,283574,491,-1
128335,283198,491,-1
128685,71871,5593,-1
129418,150115,5545,-1
129526,251176,491,-1
129527,251500,491,-1
129528,251501,491,-1
129529,251196,491,-1
129585,425312,491,-1
129617,4801,491,-1
129618,1089820,491,-1
129619,4315,491,-1
129620,4240,491,-1
129621,4354,491,-1
129622,4263,491,-1
129623,4356,491,-1
129624,4794,491,-1
129625,4357,491,-1
129626,4314,491,-1
129627,4834,491,-1
129628,4271,491,-1
129629,4829,491,-1
130257,18527,491,-1
130417,138436,491,-1
130418,138001,491,-1
132315,205231,491,-1
132406,217157,491,-1
132421,123684,491,-1
133328,269099,434,-1
133329,268926,434,-1
133330,269645,434,-1
133331,268841,434,-1
133332,268967,434,-1
133333,269006,434,-1
133334,269369,434,-1
133390,201510,434,-1
133552,67788,491,-1
133553,544610,491,-1
133695,144104,491,-1
133696,144191,491,-1
133712,191389,491,-1
133713,191420,491,-1
133714,190779,491,-1
133715,190872,491,-1
133753,170986,491,-1
133754,171020,491,-1
133867,63640,434,-1
133868,64329,434,-1
133869,64414,434,-1
134034,261487,504,-1
134035,60607,504,-1
134253,1595443,491,-1
134309,567,491,-1
134310,131862,491,-1
134311,561,491,-1
134312,646,491,-1
134313,131925,491,-1
134314,131861,491,-1
134534,144903,66,-1
135337,196358,539,-1
135338,197224,539,-1
135339,196190,539,-1
135340,196389,539,-1
135341,196674,539,-1
135342,197121,539,-1
135343,196313,539,-1
135344,196222,539,-1
135345,196112,539,-1
